"name","result.year","result.code","result.category"
"Isthmura naucampatepetl","2008","CR","Critically Endangered"
"Isthmura naucampatepetl","2004","CR","Critically Endangered"
"Italopodisma baccettii","2016","CR","Critically Endangered"
"Italopodisma ebneri","2014","LC","Least Concern"
"Italopodisma lagrecai","2016","CR","Critically Endangered"
"Ityphilus melanostigmus","2014","CR","Critically Endangered"
"Ixalodectes flectocercus","1996","CR","Critically Endangered"
"Ixalodectes flectocercus","1994","R","Rare"
"Ixalotriton parvus","2016","CR","Critically Endangered"
"Ixalotriton parvus","2008","CR","Critically Endangered"
"Ixalotriton parvus","2004","CR","Critically Endangered"
"Ixora johnsonii","1998","CR","Critically Endangered"
"Ixora johnsonii","1998","I","Indeterminate"
"Jacobaea trapezuntina","2014","CR","Critically Endangered"
"Jardinella colmani","1996","CR","Critically Endangered"
"Jardinella colmani","1994","E","Endangered"
"Johora singaporensis","2008","CR","Critically Endangered"
"Juncus maroccanus","2010","CR","Critically Endangered"
"Juniperus bermudiana","2011","CR","Critically Endangered"
"Juniperus bermudiana","1998","CR","Critically Endangered"
"Juniperus bermudiana","1998","E","Endangered"
"Juniperus bermudiana","1978","V","Vulnerable"
"Juniperus saxicola","2013","CR","Critically Endangered"
"Juniperus saxicola","1998","nt","Not Threatened"
"Juniperus saxicola","1998","VU","Vulnerable"
"Jurinea akinfievii","2014","CR","Critically Endangered"
"Justicia callopsoidea","2015","CR","Critically Endangered"
"Justicia drummondii","2015","CR","Critically Endangered"
"Justicia flaviflora","2017","CR","Critically Endangered"
"Justicia mkungweensis","2015","CR","Critically Endangered"
"Kadua coriacea","2016","CR","Critically Endangered"
"Kadua degeneri","2015","CR","Critically Endangered"
"Kadua flynnii","2015","CR","Critically Endangered"
"Kadua haupuensis","2015","CR","Critically Endangered"
"Kadua laxiflora","2016","CR","Critically Endangered"
"Kadua parvula","2015","CR","Critically Endangered"
"Kadua st-johnii","2015","CR","Critically Endangered"
"Kanaloa kahoolawensis","2016","CR","Critically Endangered"
"Kapcypridopsis barnardi","1996","CR","Critically Endangered"
"Karstama balicum","2015","CR","Critically Endangered"
"Karstama emdi","2015","CR","Critically Endangered"
"Keetia bakossii","2004","CR","Critically Endangered"
"Keetia bakossiorum","2017","CR","Critically Endangered"
"Kennedia retrorsa","2012","CR","Critically Endangered"
"Kerkia kusceri","2010","CR","Critically Endangered"
"Kewa acida","2016","CR","Critically Endangered"
"Khadia beswickii","2003","CR","Critically Endangered"
"Khadia beswickii","2000","CR","Critically Endangered"
"Kibatalia longifolia","1998","CR","Critically Endangered"
"Kinyongia mulyai","2015","CR","Critically Endangered"
"Kirelia murtici","2014","CR","Critically Endangered"
"Kiunga ballochi","2009","CR","Critically Endangered"
"Kiunga ballochi","1996","CR","Critically Endangered"
"Kiunga ballochi","1994","V","Vulnerable"
"Knipowitschia ephesi","2014","CR","Critically Endangered"
"Knipowitschia ephesi","2006","CR","Critically Endangered"
"Knipowitschia milleri","2006","CR","Critically Endangered"
"Knipowitschia milleri","1996","DD","Data Deficient"
"Knipowitschia milleri","1994","V","Vulnerable"
"Knipowitschia mrakovcici","2011","CR","Critically Endangered"
"Knipowitschia mrakovcici","2008","CR","Critically Endangered"
"Knodus shinahota","2016","CR","Critically Endangered"
"Koilodepas ferrugineum","1998","CR","Critically Endangered"
"Koilodepas ferrugineum","1998","V","Vulnerable"
"Kokia drynarioides","1998","CR","Critically Endangered"
"Kokia drynarioides","1998","E","Endangered"
"Kokia kauaiensis","1998","CR","Critically Endangered"
"Kokia kauaiensis","1998","E","Endangered"
"Kondoconcha othnius","1996","CR","Critically Endangered"
"Kondoconcha othnius","1994","Ex","Extinct"
"Konia dikume","1996","CR","Critically Endangered"
"Konia dikume","1994","V","Vulnerable"
"Konia dikume","1990","V","Vulnerable"
"Konia dikume","1988","V","Vulnerable"
"Konia dikume","1986","V","Vulnerable"
"Konia eisentrauti","1996","CR","Critically Endangered"
"Konia eisentrauti","1994","V","Vulnerable"
"Konia eisentrauti","1990","V","Vulnerable"
"Konia eisentrauti","1988","V","Vulnerable"
"Konia eisentrauti","1986","V","Vulnerable"
"Kubaryia pilikia","2012","CR","Critically Endangered"
"Kubaryia pilikia","1996","DD","Data Deficient"
"Kubaryia pilikia","1994","V","Vulnerable"
"Kupea martinetugei","2004","CR","Critically Endangered"
"Kurzia sinensis","2000","CR","Critically Endangered"
"Kuschelita inflata","2013","CR","Critically Endangered"
"Kuschelita mica","2013","CR","Critically Endangered"
"Kyllinga chrysanthoides","2017","CR","Critically Endangered"
"Labeo curriei","2010","CR","Critically Endangered"
